counter,value
rx_packets,7498765
tx_packets,1876543
rx_bytes,579012345
tx_bytes,124567890
rx_broadcast,5667890
tx_broadcast,8123
rx_multicast,41567
tx_multicast,3298
multicast,41567
collisions,0
rx_crc_errors,0
rx_no_buffer_count,0
rx_missed_errors,0
tx_aborted_errors,0
tx_carrier_errors,0
tx_window_errors,0
tx_abort_late_coll,0
tx_deferred_ok,0
tx_single_coll_ok,0
tx_multi_coll_ok,0
tx_timeout_count,0
rx_long_length_errors,0
rx_short_length_errors,0
rx_align_errors,0
tx_tcp_seg_good,0
tx_tcp_seg_failed,0
rx_flow_control_xon,0
rx_flow_control_xoff,0
tx_flow_control_xon,0
tx_flow_control_xoff,0
rx_long_byte_count,579012345
tx_dma_out_of_sync,0
tx_smbus,0
rx_smbus,0
dropped_smbus,0
os2bmc_rx_by_bmc,0
os2bmc_tx_by_bmc,0
os2bmc_tx_by_host,0
os2bmc_rx_by_host,0
tx_hwtstamp_timeouts,0
tx_hwtstamp_skipped,0
rx_hwtstamp_cleared,0
rx_errors,0
tx_errors,0
tx_dropped,0
rx_length_errors,0
rx_over_errors,0
rx_frame_errors,0
rx_fifo_errors,0
tx_fifo_errors,0
tx_heartbeat_errors,0
tx_queue_0_packets,175432
tx_queue_0_bytes,9876543
tx_queue_0_restart,0
tx_queue_1_packets,181234
tx_queue_1_bytes,10123456
tx_queue_1_restart,0
tx_queue_2_packets,188901
tx_queue_2_bytes,12345678
tx_queue_2_restart,0
tx_queue_3_packets,177890
tx_queue_3_bytes,9765432
tx_queue_3_restart,0
tx_queue_4_packets,629876
tx_queue_4_bytes,28901234
tx_queue_4_restart,0
tx_queue_5_packets,174567
tx_queue_5_bytes,9890123
tx_queue_5_restart,0
tx_queue_6_packets,179012
tx_queue_6_bytes,10345678
tx_queue_6_restart,0
tx_queue_7_packets,176789
tx_queue_7_bytes,9789012
tx_queue_7_restart,0
rx_queue_0_packets,6109876
rx_queue_0_bytes,399876543
rx_queue_0_drops,0
rx_queue_0_csum_err,0
rx_queue_0_alloc_failed,0
rx_queue_1_packets,178901
rx_queue_1_bytes,14890123
rx_queue_1_drops,0
rx_queue_1_csum_err,0
rx_queue_1_alloc_failed,0
rx_queue_2_packets,225678
rx_queue_2_bytes,27890123
rx_queue_2_drops,0
rx_queue_2_csum_err,0
rx_queue_2_alloc_failed,0
rx_queue_3_packets,181234
rx_queue_3_bytes,15901234
rx_queue_3_drops,0
rx_queue_3_csum_err,0
rx_queue_3_alloc_failed,0
rx_queue_4_packets,186789
rx_queue_4_bytes,16123456
rx_queue_4_drops,0
rx_queue_4_csum_err,0
rx_queue_4_alloc_failed,0
rx_queue_5_packets,281234
rx_queue_5_bytes,52123456
rx_queue_5_drops,0
rx_queue_5_csum_err,0
rx_queue_5_alloc_failed,0
rx_queue_6_packets,172345
rx_queue_6_bytes,13234567
rx_queue_6_drops,0
rx_queue_6_csum_err,0
rx_queue_6_alloc_failed,0
rx_queue_7_packets,179012
rx_queue_7_bytes,15234567
rx_queue_7_drops,0
rx_queue_7_csum_err,0
rx_queue_7_alloc_failed,0
