Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,43.008,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,85.862,degrees C,ok,0,0,0,89,94,94
PCH Temp,39.713,degrees C,ok,-11,-8,-5,90,95,100
System Temp,22.454,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,40.941,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,34.801,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,31.982,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,-4.070,degrees C,ok,-9,-7,-5,95,100,105
VmemCDVRM Temp,31.841,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,28.687,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,28.627,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,30.068,degrees C,ok,1,2,4,80,85,90
P1-DIMMB1 Temp,27.647,degrees C,ok,1,2,4,80,85,90
P1-DIMMC1 Temp,29.838,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,79.240,degrees C,ok,1,2,4,80,85,90
P2-DIMME1 Temp,31.142,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,29.629,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,92.552,degrees C,Upper Non-Recoverable,1,2,4,80,85,90
P2-DIMMH1 Temp,26.024,degrees C,ok,1,2,4,80,85,90
FAN1,982.391,RPM,ok,300,500,700,25300,25400,25500
FAN2,959.514,RPM,ok,300,500,700,25300,25400,25500
FAN3,5441.714,RPM,ok,300,500,700,25300,25400,25500
FAN4,5392.322,RPM,ok,300,500,700,25300,25400,25500
FAN5,969.176,RPM,ok,300,500,700,25300,25400,25500
FAN6,5625.903,RPM,ok,300,500,700,25300,25400,25500
FAN7,5762.255,RPM,ok,300,500,700,25300,25400,25500
FAN8,939.230,RPM,ok,300,500,700,25300,25400,25500
12V,12.118,Volts,ok,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,4.882,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.486,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.520,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.399,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.436,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.226,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,0.948,Volts,Lower Critical,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.162,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.341,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,4.970,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,2.965,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.520,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.204,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,0.910,Volts,Lower Non-Critical,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,51.559,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,96.468,degrees C,Upper Non-Critical,-11,-8,-5,95,100,105
